,회사명,종목코드,업종
491,이지케어텍,099750,소프트웨어 개발 및 공급업
492,이트론,096040,기타 전문 도매업
493,인바디,041830,의료용 기기 제조업
494,인선이엔티,060150,폐기물 처리업
495,인포마크,175140,통신 및 방송 장비 제조업
496,인포바인,115310,전기 통신업
497,인포뱅크,039290,기타 정보 서비스업
498,잉크테크,049550,기타 화학제품 제조업
499,전진바이오팜,110020,기타 화학제품 제조업
500,정다운,208140,"도축, 육류 가공 및 저장 처리업"
501,제놀루션,225220,기초 의약물질 및 생물학적 제제 제조업
502,제이스텍,090470,특수 목적용 기계 제조업
503,제이엘케이,322510,소프트웨어 개발 및 공급업
504,제일바이오,052670,의약품 제조업
505,젬백스지오,041590,실내건축 및 건축마무리 공사업
506,조이맥스,101730,소프트웨어 개발 및 공급업
507,조이시티,067000,소프트웨어 개발 및 공급업
508,지니뮤직,043610,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
509,지니언스,263860,소프트웨어 개발 및 공급업
510,지란지교시큐리티,208350,소프트웨어 개발 및 공급업
511,지스마트글로벌,114570,반도체 제조업
512,지티지웰니스,219750,의료용 기기 제조업
513,참좋은여행,094850,여행사 및 기타 여행보조 서비스업
514,천보,278280,기초 화학물질 제조업
515,초록뱀,047820,"영화, 비디오물, 방송프로그램 제작 및 배급업"
516,컴투스,078340,소프트웨어 개발 및 공급업
517,케이비제19호스팩,330990,금융 지원 서비스업
518,케이씨피드,025880,동물용 사료 및 조제식품 제조업
519,케이엔더블유,105330,전자부품 제조업
520,코데즈컴바인,047770,봉제의복 제조업
521,코리아센터,290510,소프트웨어 개발 및 공급업
522,코메론,049430,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
523,코미팜,041960,의약품 제조업
524,코아시아,045970,반도체 제조업
525,코오롱생명과학,102940,기초 의약물질 및 생물학적 제제 제조업
526,코웰패션,033290,"섬유, 의복, 신발 및 가죽제품 소매업"
527,코위버,056360,통신 및 방송 장비 제조업
528,큐브엔터,182360,오디오물 출판 및 원판 녹음업
529,크리스탈지노믹스,083790,자연과학 및 공학 연구개발업
530,클리오,237880,기타 화학제품 제조업
531,키움제5호스팩,311270,금융 지원 서비스업
532,테고사이언스,191420,기초 의약물질 및 생물학적 제제 제조업
533,테라사이언스,073640,기타 금속 가공제품 제조업
534,테라젠이텍스,066700,의약품 제조업
535,테스나,131970,"그외 기타 전문, 과학 및 기술 서비스업"
536,티에스아이,277880,특수 목적용 기계 제조업
537,티엘아이,062860,반도체 제조업
538,파루,043200,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
539,파멥신,208340,의약품 제조업
