,회사명,종목코드,업종
510,제넨바이오,072520,폐기물 처리업
511,제놀루션,225220,기초 의약물질 및 생물학적 제제 제조업
512,제이스텍,090470,특수 목적용 기계 제조업
513,제이엘케이,322510,소프트웨어 개발 및 공급업
514,제일바이오,052670,의약품 제조업
515,제일제강,023440,1차 철강 제조업
516,젬백스지오,041590,실내건축 및 건축마무리 공사업
517,조이맥스,101730,소프트웨어 개발 및 공급업
518,조이시티,067000,소프트웨어 개발 및 공급업
519,지니뮤직,043610,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
520,지니언스,263860,소프트웨어 개발 및 공급업
521,지란지교시큐리티,208350,소프트웨어 개발 및 공급업
522,지스마트글로벌,114570,반도체 제조업
523,지와이커머스,111820,기타 정보 서비스업
524,지티지웰니스,219750,의료용 기기 제조업
525,참좋은여행,094850,여행사 및 기타 여행보조 서비스업
526,천보,278280,기초 화학물질 제조업
527,초록뱀,047820,"영화, 비디오물, 방송프로그램 제작 및 배급업"
528,컴투스,078340,소프트웨어 개발 및 공급업
529,케이비제19호스팩,330990,금융 지원 서비스업
530,케이엔더블유,105330,전자부품 제조업
531,코데즈컴바인,047770,봉제의복 제조업
532,코드네이처,078940,전기 및 통신 공사업
533,코리아센터,290510,소프트웨어 개발 및 공급업
534,코메론,049430,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
535,코미팜,041960,의약품 제조업
536,코아시아,045970,반도체 제조업
537,코웰패션,033290,"섬유, 의복, 신발 및 가죽제품 소매업"
538,코위버,056360,통신 및 방송 장비 제조업
539,큐브앤컴퍼니,043090,기타 전문 도매업
